ID,Noms
Assise,Assise
Lombez,Lombés
Thebes,"Thebes,Thébes,Tebes"
Thasos,Thase
Rhodes,"Rhodes,Rodes"
Bruges,Bruges
Anvers,"Anversa,ANVERS,Anvers"
Berlin,Berlin
Ancyre,Ancyre
Israel,"Israel,Israël"
Ephese,"Ephese,Ephése,Efese,Efeso"
Novare,Novara
Padoue,"Padoue,Padova,Padouë,"
Achaie,Achaïe
Tivoli,Tivoli
Ninive,Ninive
Candie,Candie
Cotton,Cotton
Cadmee,Cadmée
Lindos,Lindus
Lemnos,Lemnos
Catane,Catane
Orange,Orange
Ancone,Ancone
Arabie,Arabie
Chypre,Cipre
Modene,"Modene,Modéne"
Rimini,Rimini
Bresso,Bresse
Alsace,Alsace
Arezzo,"Arrezze,Arezze,Arreze,Arezzo"
Pesaro,"Pesaro,Pisaro"
Loreto,Lorette
Meudon,Meudon
Venloo,Venlo
Monaco,Monaco
Savoie,Savoye
Tamise,Tamise
Caunos,Caune
Cadore,Cador
Munich,"Munic,Munik"
Kalkar,Calcar
Suisse,Suisse
Vienne,Vienne
Prague,Prague
Madrid,Madrid
LaHaye,la Haye
Arnhem,Arnhem
Amiens,Amiens
Poitou,Poitou
Troyes,Troyes
Sceaux,Sceaux
Corfou,"Corcyre,CORCIRE,Corcire"
Ogygie,Ogige
Ecosse,Escosse
Loches,Loces
Faenza,Faenza
Torino,TORINO
Parme,"Parmes,Parma,Parme"
Paris,"Parigi,PARIS,Paris"
Alpes,Alpes
Genes,"Genova,Gennes,Génnes,Génes,Génes,Genne,Genes"
Grece,"Grecia,Gréce,Grèce,Grece"
Troie,"Troïe,Troie,Troye,Troia"
Tibre,"le Tibre,Tibre,Tebro"
Chine,Chine
Lydie,Lidie
Carie,Carie
Ardea,Ardée
Milan,"republica Milanese,Milano,MILANO,Milan"
Loire,Loire
Basel,Basle
Mainz,Mayance
Liege,"Liége,Liege,Liége"
Malte,"Malthe,Malte,Malta"
Elide,Elide
Syrie,Sirie
Argos,"Argos,Argo"
Cnide,"Gnide,Gnido"
Indes,Indes
Perou,Perou
Pavie,"Pavia,Pavie"
Perse,Perse
Crete,Crete
Birsa,Birsa
Judee,Judée
Nimes,Nismes
Cumes,Cumes
Baies,Baie
Damas,Damas
Libye,Libie
Gaete,Gaëte
Monza,Monza
Autun,Autun
Tours,Tours
Udine,"Udiné,Udine"
Blois,Blois
Arles,Arles
Tunis,Tunis
Melun,Melun
Cento,Cento
Meuse,la Meuse
Leyde,Leyde
Alost,Alost
Breda,Breda
Gouda,Goude
Berne,Berne
Delft,Delft
Suede,Suéde
Cadix,Cadis
Vinci,Vinci
Turin,Torino
Lazio,Lazio
Rome,"Rome,Vile,ROMA,Roma"
Asie,"Asia,Asie"
Lyon,"Lyon,Lion"
Come,Como
Cana,Cana
Pula,Pola
Adee,Adée
Pise,"Pisa,Pise"
Rhin,"Rhin,Rein"
Tage,Tage
Tarn,Tarn
Mons,Mons
Sens,Sens
Brie,Brie
Arno,Arno
Nil,"Nilo,Nil"
Tyr,Tir
Kos,"Ille de Co,Côos"
Po,Po
