fileName,Noms
Monier_HistoireArtsRapportDessein.xml,"Abbaïe,Abbaïe du Mont Cassin,Basilique du Vatican,Batistaire saint Jean,Beauregar,Bois de Vincenne,Chapelle au,Chapelle d'Orleans aux Celestins de,Cholarge,Château de Dampierre,Château de Richelieu,Château-neuf,Colisée,Couvent de saint Marc,Douai,Dôme de saint Marc,Eglise,Eglise Nôtre-Dame,Eglise Saint André de Laval,Eglise Sainte Croix,Eglise de,Eglise de Nôtre-Dame,Eglise de Sainte Sofie,Eglise de la Rotonde,Eglise de saint Martin,Eglise de saint Nicolas,Eglise de saint Pierre,Eglise de sainte Marie,Eglise des Apôtres,Eglise des Carmes,Eglise des Florentins,Eglise saint Germain-des-Prez,Eglise saint Laurent,Eglise saint Luc,Eglise saint Pierre,Eglise sainte Agnés,Eglise sainte Croix,Eglises du Saint Esprit,Eglises saint Martin,Empire d'Orient,Fenicie,Fore di Mare,Gallerie de,Hecatompedon,Limoge,Louvain,Louvre,Mausolée à saint Pierre,Occident,Palais Farneze,Palais de,Palais de Belvedere,Palais de belvedere,Palais de saint Marc,Palais des Blaquernes,Palais du,Palais du T,Palais du T.,Palais, de saint Sebastien,Panne,Partenon,Pirennées,Places saint Pierre,Pouzaole,Regge,S. Denis,S. François,S. Jean,S. Marc,S. Pierre,Saint Antoine,Saint François,Saint Jean,Sainte Caterine,Sales des Jardins de,Samarie,Temple,Temple de,Temple de Jupiter,Temple de Jupiter Capicolin,Temple de Jupiter Capitolin,Temple de Pallas,Temple de Venus,Temple de l'Honneur,Temple de la Paix,Temple de la Vierge,Temple du Panteon,Temple à,Verseil,Xipete,alais de Belvedere,cabinet du,ceux de,la Galerie du Louvre,la Maison d'Anjou,la Nacele de saint Pierre,la Rotonde,le Panteon,saint Etienne,saint Gervais,saint Jean,saint Jean de Latran,saint Laurent,saint Marc,saint Martin,saint Paul,saint Pierre,saint Romain,saint Vincent,sainte Julie,sainte Marie,sainte Marie Majeure,sainte Martine"
Pader_SongeEnigmatique.xml,"Agen,Aurigere,Eglise Sainte
            Sicille,Galleries du Louvre,Gorone,Grece,Isle de Scio,Larise,Lers,Licie,Lorraine,Lovain,Magelan,Medon,N.Dame de la Rotonde,Normandie,Rouen,S. Sernin,Temple de
            la Salut,Temple de Diane,destroit de Gilbaltar"
Piles_AbregeViePeintres.xml,"Academie de,Arras,Bibliothéque du
              Dôme,Carie,Convent de Carmes,Eglise de,Eglise de la,Eglise de la
              Rotonde,Eglise de saint Nicolas,Lidie,Mulbrec,Palais de
                Medicis,Palais de Saint Marc,Palais du
              Podesta,S. Georges,Saint Jacques des Espagnols,Saint Jean de Latran,Saint Sébastien,Sainte Marie de la
              Minérve,Terre de Stokau,l'Eglise de,le Palais Grimani,le Réfectoire des Dominicains"
Piles_ConversationsConnaissancePeinture.xml,"Abbaye de Saint Michel d',Eglise saint Jacques d',Eglises des Premonstrez,Fleuve Thermodon,Gallerie de Luxembourg,Jardin des Tuilleries,Mont-Ida,Nostre-Dame d',Palais de Luxembourg,Palais de la tour della Parada,Steen,Vigne Borghese,chapelle de,des Augustins,des Cordeliers,des Jacobins,des Jésuites,l'Eglise de Sainte Croix-en-Jerusalem,l'Eglise du Jesus,l'Eglise neuve des Peres de l'Oratoire,la gallerie de Luxembourg"
Piles_CoursPeinture.xml,"Sepulcre des Scipions,Temple de Salomon,Temple que Salomon,la Galerie de Luxembourg,rue de Grenelle faubourg S. Germain."
Vinci_TrattatoPittura_ITA.xml,"Annunciata,Annuntiata,Basileae,Borgo S. Sepolcro,Camerino,Chiavenna,Francofurti,La vigna,Orsan Michele,S. Brancacio,San Barnaba di,San Salvi,Santa Maria novella,Valtelina,Venetia,annuntiata,biblioteca Ambrosiana,capelle,chiesa,chiesa di,chiesa di S. Sebastiano,chiesa di santa Croce,edificio,il navilio di Mortesana,la chiesa di,la sala del palazzo di,le chiese antichissime di S. Severo e di,libraria Ambrosiana,palazzo Cardinale,parrocchia reale di san Germano,refettorio de' padri Dominicani di Santa Maria delle gratie,santo Zeno di,tempio,villa del Vauero,villa del Vavero"
Zuccari_IdeaPittori.xml,"Academia nostra di,Capua,Regno de Medi"
Zuccari_OrigineProgressoAcademiaDissegno.xml,"Academia,Chiesa nostra di"
Barbaro_PraticaPerspettiva.xml,fortezza di
Bosse_SentimentsDistinctionManieresPeinture.xml,"Chateau et Maison Royale de,Nil"
