ID,Noms
CharlesVIII,Charles VIII
CharlotteDuchesne,la fille de
Charmidas,Charmas
Charon,Caronte
Chersiphron,Ctesiphon
CherubinoAlberti,"Albert Dal Borge San Sepolcro,Cherubino Alberti,Messer Cherubino,Cherubin Albert"
CherubinoFerrari,"Ferrari l'Etereo Academico,SIG. FERRARI L'ETEREO,Cherubino Ferrari,CHERUBINO FERRARI"
Childebert,Childebert
ChristineDeFrance,Madame Royalle de Savoye
ChristineDeLalaing,Douairiere Comtesse de
ChristineDeLorraine,gran Duchessa di Toscana
ChristineDeSuede,"Reine Christine de Suéde,Cristine Reine du Suede,Reine Christine"
ChristophAmberger,Christophle Amberger
ChristophSchwarz,CHRISTOPHLE SCHOUARTS
ChristopheColomb,Cristofle Colomb
ChristopheDeLestang,Mr. de l'Estang
Cicene,Cicene
Ciceron,"Cicerone,Ciceron,Cicero,Tullio"
CimaDaConegliano,Jean Batiste de Corrigliano
Cimabue,"cet habile Peintre,Jean Cimaboüe,son Maître,CIMABUE.,Cimaboüe,Cimabuë,Cimabüe,Cimabos,Cimabué,Cimabue"
CimonDeCleones,"Cimon et Cleonée,Cimone Cleoneo,Simon Cleonée"
Cinegirus,Cinegirus
ClaraDeMoy,Claire de Moï
Claude,"Claude l'Empereur,Empereur Claude,Claude"
ClaudeBoutet,celui qui a publié
ClaudeDeruet,Mr. Derruet
ClaudeFrancois,"Claude Francois,Frere Luc,Claude"
ClaudeGalien,Galien
