xml_id	personne_qid	type	lieu_qid
GerritVanHonthorst	Q314548	naissance	Q803
GerritVanHonthorst	Q314548	décès	Q803
AbrahamJanssens	Q330139	naissance	Q12892
AbrahamJanssens	Q330139	décès	Q12892
Horapollon	Q364379	naissance	Q3704933
Horapollon	Q364379	naissance	Q131690766
Irene	Q450528	décès	ef82db83a48a110f47a4aa6264fa1428
Isaac	Q671872	naissance	Q163329
Isaac	Q671872	décès	Q163329
LuciusManliusCapitolinusImperiosus	Q1215407	naissance	Q1747689
LuciusManliusCapitolinusImperiosus	Q1215407	décès	14b26b5d462c28c79090928acc9254ec
JanVanDenHoecke	Q1349676	naissance	Q12892
JanVanDenHoecke	Q1349676	décès	Q12892
InnocenzoFrancucci	Q1350937	naissance	Q50195
InnocenzoFrancucci	Q1350937	décès	Q1891
JacobHoefnagel	Q1389562	naissance	Q12892
JacobHoefnagel	Q1389562	décès	Q1055
Heliodore	Q1397528	naissance	Q200441
Hippocrate	Q5264	naissance	Q187027
Hippocrate	Q5264	décès	Q178405
Josue	Q7734	naissance	Q1261081
Josue	Q7734	décès	Q163329
JulienApostat	Q33941	naissance	Q16869
JulienApostat	Q33941	décès	Q11767
Justinien	Q41866	naissance	Q119611049
Justinien	Q41866	décès	Q16869
LaurentDeLaHyre	Q59894	naissance	Q90
LaurentDeLaHyre	Q59894	décès	Q90
Joseph	Q128267	naissance	Q430776
Joseph	Q128267	décès	Q430776
FlaviusJosephe	Q134461	naissance	Q1218
FlaviusJosephe	Q134461	décès	Q220
SainteMarieEgyptienne	Q237583	naissance	Q87
SainteMarieEgyptienne	Q237583	décès	Q23792
JacobJordaens	Q270658	naissance	Q12892
JacobJordaens	Q270658	décès	Q12892
JubaII	Q315670	naissance	Q858024
JubaII	Q315670	décès	Q1328271
LamoralComteEgmont	Q435844	naissance	Q648122
LamoralComteEgmont	Q435844	décès	Q215429
PhilibertDelorme	Q440053	naissance	Q456
PhilibertDelorme	Q440053	décès	Q90
GiovanniLanfranco	Q447730	naissance	Q2683
GiovanniLanfranco	Q447730	décès	Q220
FrancoisDeJoyeuse	Q542804	naissance	Q6582
FrancoisDeJoyeuse	Q542804	décès	Q6397
AnneDeJoyeuse	Q565927	naissance	Q391249
AnneDeJoyeuse	Q565927	décès	Q243898
AnneDeJoyeuse	Q565927	naissance	f832beb9dbad9b703f14931ff79e85fd
AnneDeJoyeuse	Q565927	décès	Q243898
PieterVanLaer	Q576907	naissance	Q9920
PieterVanLaer	Q576907	décès	Q9920
AntoineLafrery	Q602742	naissance	Q524231
AntoineLafrery	Q602742	décès	Q220
CaiusLaelius	Q706305	naissance	Q1747689
CaiusLaelius	Q706305	décès	b8cff8e277456a62dedf8aa0ddc965e8
CristoforoLandino	Q711964	naissance	Q2044
CristoforoLandino	Q711964	décès	Q18484193
Jezabel	Q721295	naissance	Q163490
Jezabel	Q721295	décès	Q2914898
PieterDeJodeI	Q724760	naissance	Q12892
PieterDeJodeI	Q724760	décès	Q12892
CharlesDeLAubespine	Q1066583	naissance	Q1159020
CharlesDeLAubespine	Q1066583	décès	Q669593
GeorgesLallemand	Q1508985	naissance	Q40898
GeorgesLallemand	Q1508985	décès	Q90
WillemKey	Q1827660	naissance	Q40844
WillemKey	Q1827660	décès	Q12892
DominiqueLampsonius	Q1909526	naissance	Q12994
DominiqueLampsonius	Q1909526	décès	Q3992
AntonioLabacco	Q2290168	naissance	Q5990
AntonioLabacco	Q2290168	décès	Q220
Jonas	Q2468262	naissance	Q5527338
BernhardJobin	Q2660980	naissance	Q68256
BernhardJobin	Q2660980	décès	Q6602
