xml_id	personne_qid	type	lieu_qid
CatherineDeMedicis	Q131552	décès	Q4055
SaintRoch	Q152457	naissance	Q6441
SaintRoch	Q152457	décès	Q6441
SaintRoch	Q152457	naissance	Q6441
SaintRoch	Q152457	décès	Q39981
PubliusDeciusMusIII	Q155350	naissance	Q1747689
PubliusDeciusMusIII	Q155350	décès	af662fb665782eba4c2e40fa95d9f507
LorenzoMonaco	Q155376	naissance	Q2751
LorenzoMonaco	Q155376	décès	Q2044
AnthonisMorVanDashorst	Q176694	naissance	Q803
AnthonisMorVanDashorst	Q176694	décès	Q12892
LaurentDeMedicis	Q177854	naissance	Q2044
LaurentDeMedicis	Q177854	décès	Q913109
MarieDeMedicis	Q182021	naissance	Q2044
MarieDeMedicis	Q182021	décès	Q365
Myron	Q192211	naissance	Q1328318
PierreDeMedicis	Q262212	naissance	Q2044
PierreDeMedicis	Q262212	décès	Q128089
IsabelleDeMedicis	Q271831	naissance	Q2044
IsabelleDeMedicis	Q271831	décès	Q82644
FrancoisIMedicis	Q299675	naissance	Q2044
FrancoisIMedicis	Q299675	décès	Q20387
Megasthene	Q312548	naissance	Q12824780
Megasthene	Q312548	décès	7c1ba55634839a765e498d14feb17fc5
LaurentIIDeMedicis	Q312612	naissance	Q2044
LaurentIIDeMedicis	Q312612	décès	Q913109
JulienDeMedicis	Q333340	naissance	Q2044
JulienDeMedicis	Q333340	décès	Q2044
PubliusDeciusMusI	Q374579	naissance	Q1747689
PubliusDeciusMusI	Q374579	décès	a528c5070c488cf3090c034aeabc4ff7
SymeonMetaphraste	Q439491	naissance	Q16869
SymeonMetaphraste	Q439491	décès	Q16869
LuciusMummius	Q445455	naissance	89413291094247735a5e1d7d114cf245
LuciusMummius	Q445455	décès	42b84df93c8e90be2ad68ce307321f62
Menelaos	Q451572	naissance	Q87
Menelaos	Q451572	décès	Q220
HonoreIIDeMonaco	Q474802	naissance	Q235
HonoreIIDeMonaco	Q474802	décès	Q235
PubliusDeciusMusII	Q504145	naissance	Q1747689
PubliusDeciusMusII	Q504145	décès	Q124886
GiovanniBattistaMoroni	Q504949	naissance	Q53489
GiovanniBattistaMoroni	Q504949	décès	Q628
JoosIIDeMomper	Q560548	naissance	Q12892
JoosIIDeMomper	Q560548	décès	Q12892
RobertoDaMontevarchi	Q964293	naissance	Q52089
RobertoDaMontevarchi	Q964293	décès	Q52089
GuidobaldoIMontefeltro	Q969797	naissance	Q20458
GuidobaldoIMontefeltro	Q969797	décès	Q190646
GirolamoMuziano	Q1333792	naissance	Q6221
GirolamoMuziano	Q1333792	décès	Q220
GirolamoMuziano	Q1333792	naissance	Q103402
GirolamoMuziano	Q1333792	décès	Q220
BaccioDaMontelupo	Q2245460	naissance	Q82766
BaccioDaMontelupo	Q2245460	décès	Q13373
AnthonieVanMontfoortBlocklandt	Q2281325	naissance	Q10048
AnthonieVanMontfoortBlocklandt	Q2281325	décès	Q803
PaoloMorando	Q2382158	naissance	Q2028
PaoloMorando	Q2382158	décès	Q2028
AgostinoVeneziano	Q2623716	naissance	Q641
AgostinoVeneziano	Q2623716	décès	Q220
JanHarmenszMuller	Q2725591	naissance	Q727
JanHarmenszMuller	Q2725591	décès	Q727
JanHarmenszMuller	Q2725591	naissance	Q727
JanHarmenszMuller	Q2725591	décès	Q9920
JacopoDaMontagnana	Q3157655	naissance	Q34605
JacopoDaMontagnana	Q3157655	décès	Q617
PierreMonier	Q3386358	naissance	Q160927
PierreMonier	Q3386358	décès	Q90
GiuseppeMoleti	Q3710748	naissance	Q13666
GiuseppeMoleti	Q3710748	décès	Q617
DomenicoMoreni	Q3713152	naissance	Q2044
DomenicoMoreni	Q3713152	décès	Q2044
Jesus	Q302	naissance	Q5776
Jesus	Q302	décès	Q170516
Neron	Q1413	naissance	Q16010710
Neron	Q1413	décès	Q220
Nerva	Q1424	naissance	Q10866
Nerva	Q1424	décès	Q1241278
WolfgangGuillaumeDeNeubourg	Q61214	naissance	Q125652
WolfgangGuillaumeDeNeubourg	Q61214	décès	Q1718
Noe	Q81422	naissance	Q11767
Odoacre	Q103333	naissance	Q6645669
Odoacre	Q103333	décès	Q13364
MauriceDeNassau	Q164062	naissance	Q517381
MauriceDeNassau	Q164062	décès	Q36600
Origene	Q170472	naissance	Q87
Origene	Q170472	décès	Q82070
Origene	Q170472	naissance	Q87
Origene	Q170472	décès	Q319242
ArtaxerxesIII	Q192867	décès	Q5684
DariusII	Q202236	naissance	Q3746183
DariusII	Q202236	décès	Q5684
NicephoreI	Q208754	naissance	Q621805
NicephoreI	Q208754	décès	Q318889
CasparNetscher	Q217715	naissance	Q2966
CasparNetscher	Q217715	décès	Q36600
AnneMarieLouiseDOrleans	Q231832	naissance	Q1075988
AnneMarieLouiseDOrleans	Q231832	décès	Q329852
RobertINaples	Q290720	naissance	Q58894
RobertINaples	Q290720	décès	Q2634
Nicodeme	Q295084	naissance	Q23792
Nicodeme	Q295084	décès	Q104028
Nearque	Q320132	naissance	Q1807000
Neoptoleme	Q322639	décès	Q125925203
AdamVanNoort	Q351328	naissance	Q12892
AdamVanNoort	Q351328	décès	Q12892
BernaertVanOrley	Q454678	naissance	Q239
BernaertVanOrley	Q454678	décès	Q239
BernaertVanOrley	Q454678	naissance	Q111901161
BernaertVanOrley	Q454678	décès	Q239
BernaertVanOrley	Q454678	naissance	Q239
BernaertVanOrley	Q454678	décès	Q111901161
BernaertVanOrley	Q454678	naissance	Q111901161
BernaertVanOrley	Q454678	décès	Q111901161
CesareNebbia	Q503575	naissance	Q541
VirginioOrsini	Q520436	naissance	Q145694
VirginioOrsini	Q520436	décès	Q220
GerardVanOpstal	Q673573	naissance	Q239
GerardVanOpstal	Q673573	décès	Q90
PietroOrseolo	Q707192	naissance	Q2790
PietroOrseolo	Q707192	décès	Q306121
Ninus	Q1152356	naissance	Q200200
MichelNatalis	Q1176744	naissance	Q3992
MichelNatalis	Q1176744	décès	Q3992
FrancoisDOrbay	Q1270258	naissance	Q90
FrancoisDOrbay	Q1270258	décès	Q34001
NicetasI	Q1281867	décès	Q16869
RobertNanteuil	Q1356084	naissance	Q41876
RobertNanteuil	Q1356084	décès	Q90
OrazioDeFerrari	Q1439681	naissance	Q1516072
OrazioDeFerrari	Q1439681	décès	Q1449
Nicias	Q2583871	naissance	Q1524
Nicias	Q2583871	décès	Q1524
FamianoNardini	Q3064854	naissance	Q2044
FamianoNardini	Q3064854	décès	Q220
FamianoNardini	Q3064854	naissance	Q160253
FamianoNardini	Q3064854	décès	Q220
JeanNocret	Q3173734	naissance	Q40898
JeanNocret	Q3173734	décès	Q90
GiacomoNizzola	Q3805911	naissance	Q43090
GiacomoNizzola	Q3805911	décès	Q2807
LambertVanNoort	Q4901800	naissance	Q992
LambertVanNoort	Q4901800	décès	Q12892
PietroPaoloOlivieri	Q19569719	naissance	Q220
PietroPaoloOlivieri	Q19569719	décès	Q220
PaoloGiordanoIIOrsini	Q21640069	naissance	Q220
PaoloGiordanoIIOrsini	Q21640069	décès	Q241791
CatharinaVanNoort	Q21710856	naissance	Q12892
CatharinaVanNoort	Q21710856	décès	Q12892
LorenzoNaldini	Q98323508	naissance	Q2044
LorenzoNaldini	Q98323508	décès	Q90
Petrarque	Q1401	naissance	Q13378
Petrarque	Q1401	décès	Q34638
Othon	Q1416	naissance	Q597347
Othon	Q1416	décès	Q3645134
Ovide	Q7198	naissance	Q50157
Ovide	Q7198	décès	Q2441154
JacopoPalmaIlVecchio	Q9342	naissance	Q101580
JacopoPalmaIlVecchio	Q9342	décès	Q641
Pallas	Q37122	naissance	Q70054479
FrancoisPerrier	Q82566	naissance	Q214540
FrancoisPerrier	Q82566	décès	Q90
LucaPacioli	Q87620	naissance	Q52098
LucaPacioli	Q87620	décès	Q52098
SixteV	Q133350	naissance	Q56071
SixteV	Q133350	décès	Q220
NicolasV	Q134588	naissance	Q160628
NicolasV	Q134588	décès	Q220
GabrielePaleotti	Q163858	naissance	Q1891
GabrielePaleotti	Q163858	décès	Q220
UrbainIV	Q169305	naissance	Q5489
UrbainIV	Q169305	décès	Q3437
BaldassarrePeruzzi	Q177213	naissance	Q2751
BaldassarrePeruzzi	Q177213	décès	Q220
AndreaPalladio	Q177692	naissance	Q617
AndreaPalladio	Q177692	décès	Q6537
AndreaPalladio	Q177692	naissance	Q617
AndreaPalladio	Q177692	décès	Q47420
Pausanias	Q192931	naissance	Q210718
Pausanias	Q192931	décès	Q4951156
SainteJustine	Q288295	naissance	Q617
SainteJustine	Q288295	décès	Q617
PaulEmileMacedonien	Q298168	naissance	Q1747689
PaulEmileMacedonien	Q298168	décès	Q1747689
MargueriteDeParme	Q307815	naissance	Q12992
MargueriteDeParme	Q307815	décès	Q51256
PetrusChristus	Q312616	naissance	Q797512
PetrusChristus	Q312616	décès	Q12994
Pacuvius	Q314677	naissance	Q13496
Pacuvius	Q314677	décès	Q3981082
ClaudePerrault	Q347699	naissance	Q90
ClaudePerrault	Q347699	décès	Q90
AntoinePerrenotDeGranvelle	Q451178	naissance	Q37776
AntoinePerrenotDeGranvelle	Q451178	décès	Q2807
Parrhasios	Q552759	naissance	Q47611
JeanPetitot	Q556676	naissance	Q71
JeanPetitot	Q556676	décès	Q68160
JacopoPalmaIlGiovane	Q651795	naissance	Q641
JacopoPalmaIlGiovane	Q651795	décès	Q641
BartolomeoPassarotti	Q809512	naissance	Q1891
BartolomeoPassarotti	Q809512	décès	Q1891
ClaudeParadin	Q867849	naissance	Q735433
ClaudeParadin	Q867849	décès	Q740693
SimonePeterzano	Q983632	naissance	Q628
SimonePeterzano	Q983632	décès	Q490
Pamphile	Q1346505	naissance	Q217414
Pamphile	Q1346505	décès	Q213679
Pausias	Q1533115	naissance	Q368628
OnofrioPanvinio	Q1771889	naissance	Q2028
OnofrioPanvinio	Q1771889	décès	Q2656
Pasiteles	Q1934954	naissance	Q184313
GiovanniFrancescoPenni	Q2327761	naissance	Q2044
GiovanniFrancescoPenni	Q2327761	décès	Q2634
QuintusPediusPeintre	Q2701125	naissance	Q1747689
QuintusPediusPeintre	Q2701125	décès	242443157605271aea10b0cf431cacf2
BenedettoPagni	Q2895740	naissance	Q102661
BenedettoPagni	Q2895740	décès	Q6247
BlaiseFrancoisPagan	Q2905786	naissance	Q631606
BlaiseFrancoisPagan	Q2905786	décès	Q90
LucaPenni	Q3264994	naissance	Q2044
LucaPenni	Q3264994	décès	Q90
AscanioPersio	Q3624792	naissance	Q13616
AscanioPersio	Q3624792	décès	Q1891
LeonardoParasole	Q16853931	naissance	Q220
FrancescoDiPellegrino	Q21546495	naissance	Q2044
FrancescoDiPellegrino	Q21546495	décès	Q90
HilairePader	Q23770459	naissance	Q7880
HilairePader	Q23770459	décès	Q7880
Platon	Q859	naissance	Q1524
Platon	Q859	décès	Q1524
Pinturicchio	Q5591	naissance	Q3437
Pinturicchio	Q5591	décès	Q2751
PoncePilate	Q17131	naissance	Q1284
ArmandJeanDuPlessisDeRichelieu	Q26702	naissance	Q90
ArmandJeanDuPlessisDeRichelieu	Q26702	décès	Q90
Phocas	Q31556	naissance	Q41741
Phocas	Q31556	décès	Q16869
SaintPierre	Q33923	naissance	Q501773
SaintPierre	Q33923	décès	Q18287233
PhilippeII	Q34417	naissance	Q11697419
PhilippeII	Q34417	décès	Q28471
Plutarque	Q41523	naissance	Q13574678
Plutarque	Q41523	décès	06fc4d76f6b78bd71952beeb89591556
SigismondIII	Q52940	naissance	Q714783
SigismondIII	Q52940	décès	Q270
Pline	Q82778	naissance	Q50711037
Pline	Q82778	décès	Q547910
PieII	Q101437	naissance	Q91341
PieII	Q101437	décès	Q3415
Polybe	Q131169	naissance	Q823721
PieIII	Q160030	naissance	Q91447
PieIII	Q160030	décès	Q220
Phidias	Q177302	naissance	Q1524
Phidias	Q177302	décès	Q38888
Phidias	Q177302	naissance	Q1524
Phidias	Q177302	décès	Q844930
Polyclete	Q193422	naissance	Q13533353
Phryne	Q232790	naissance	Q1141295
Phryne	Q232790	décès	Q844930
Plotine	Q239448	naissance	Q42807
CornelisVanPoelenburgh	Q247183	naissance	Q803
CornelisVanPoelenburgh	Q247183	décès	Q803
AnneDePisseleu	Q257557	naissance	Q1337243
AnneDePisseleu	Q257557	décès	Q691124
DianeDePoitiers	Q276010	naissance	Q219321
DianeDePoitiers	Q276010	décès	Q2032524
SebastianoDelPiombo	Q285423	naissance	Q641
SebastianoDelPiombo	Q285423	décès	Q220
AndreaPisano	Q311031	naissance	Q103219
AndreaPisano	Q311031	décès	Q541
Pisanello	Q311082	naissance	Q13375
Pisanello	Q311082	décès	Q220
GiovanniPisano	Q314932	naissance	Q13375
GiovanniPisano	Q314932	décès	Q2751
AntonioPollaiuolo	Q318640	naissance	Q2044
AntonioPollaiuolo	Q318640	décès	Q220
NicolaPisano	Q364413	naissance	Q13464
NicolaPisano	Q364413	décès	Q1273
GermainPilon	Q554943	naissance	Q90
GermainPilon	Q554943	décès	Q90
Phylarque	Q609147	naissance	Q844930
PieroPollaiuolo	Q707046	naissance	Q2044
PieroPollaiuolo	Q707046	décès	Q220
BonifacioVeronese	Q744747	naissance	Q2028
BonifacioVeronese	Q744747	décès	Q641
BonannoPisano	Q892084	naissance	Q13375
RogerDePiles	Q941981	naissance	Q213294
RogerDePiles	Q941981	décès	Q90
MarcoPino	Q979474	naissance	Q98833872
MarcoPino	Q979474	décès	Q2634
GiovanniDiPietro	Q1446925	naissance	Q3437
GiovanniDiPietro	Q1446925	décès	Q20571
PierfrancescoGiambullari	Q1754685	naissance	Q2044
PierfrancescoGiambullari	Q1754685	décès	Q2044
Polydore	Q2102799	naissance	Q43048
GuillaumePhilandrier	Q3120120	naissance	Q244707
GuillaumePhilandrier	Q3120120	décès	Q7880
LouisIPhelypeauxDeLaVrilliere	Q3262263	décès	Q627061
PaoloPino	Q3362655	naissance	Q641
PaoloPino	Q3362655	décès	Q641
FraPaolinoDaPistoia	Q3749183	naissance	Q13376
FraPaolinoDaPistoia	Q3749183	décès	Q13376
Philocles	Q7186040	naissance	Q1524
GiovanniBattistaPittoni	Q21540049	naissance	Q6537
GiovanniBattistaPittoni	Q21540049	décès	Q6537
NicolasPoussin	Q41554	naissance	Q209770
NicolasPoussin	Q41554	décès	Q220
Praxitele	Q105290	naissance	Q1524
Pompee	Q125414	naissance	Q510990
Pompee	Q125414	décès	Q1145715
Protagoras	Q169243	naissance	Q132527193
Protagoras	Q169243	décès	Q37495
Priam	Q170473	décès	Q22647
NumaPompilius	Q200031	naissance	Q2246183
NumaPompilius	Q200031	décès	3025ad93d57813f1ffaf8b945e601b27
Pontormo	Q207929	naissance	Q6697
Pontormo	Q207929	décès	Q2044
Pulcherie	Q231919	naissance	Q16869
Pulcherie	Q231919	décès	Q16869
Psammetique	Q328763	décès	Q1810451
Primatice	Q333366	naissance	Q1891
Primatice	Q333366	décès	Q90
GiovanniBattistaDellaPorta	Q334154	naissance	Q72732
GiovanniBattistaDellaPorta	Q334154	décès	Q2634
DionDePruse	Q334457	naissance	Q40738
Porsenna	Q346588	décès	Q91185
CamilloProcaccini	Q366999	naissance	Q2683
CamilloProcaccini	Q366999	décès	Q490
PierrePuget	Q371979	naissance	Q23482
PierrePuget	Q371979	décès	Q23482
EvagriusPonticus	Q437869	naissance	Q535720
EvagriusPonticus	Q437869	décès	Q79
EvagriusPonticus	Q437869	naissance	Q535720
EvagriusPonticus	Q437869	décès	Q1074945
AntonioPossevino	Q548115	naissance	Q6247
AntonioPossevino	Q548115	décès	Q13362
AmalteoPomponio	Q598960	naissance	Q48065
AmalteoPomponio	Q598960	décès	Q53194
Longin	Q744540	naissance	5e9da6e2c41adbddd2f5e68d891cb69d
Longin	Q744540	décès	f8c0acd66a6d9fda83fcf95b159d2939
LorenzoPucci	Q745434	naissance	Q2044
LorenzoPucci	Q745434	décès	Q220
Protogene	Q930914	naissance	Q608095
PieterPourbus	Q981558	naissance	Q84125
PieterPourbus	Q981558	décès	Q12994
CassianoDalPozzo	Q1048333	naissance	Q495
CassianoDalPozzo	Q1048333	décès	Q220
AndreaPrevitali	Q1097187	naissance	Q99966
AndreaPrevitali	Q1097187	décès	Q628
GiulioCesareProcaccini	Q1119589	naissance	Q1891
GiulioCesareProcaccini	Q1119589	décès	Q490
PytheosdePriene	Q1243502	naissance	Q142819
FransPourbusI	Q1445472	naissance	Q12994
FransPourbusI	Q1445472	décès	Q12892
GuglielmoDellaPorta	Q1623328	naissance	Q47510
GuglielmoDellaPorta	Q1623328	décès	Q220
PaulusPontius	Q1854445	naissance	Q12892
PaulusPontius	Q1854445	décès	Q12892
Polygnote	Q1972156	naissance	Q122443
GiovanniDalPonte	Q2749321	naissance	Q2044
GiovanniDalPonte	Q2749321	décès	Q2044
CharlesPoerson	Q2960032	naissance	Q22690
CharlesPoerson	Q2960032	décès	Q90
ErcoleProcacciniI	Q3056023	naissance	Q1891
ErcoleProcacciniI	Q3056023	décès	Q490
GiuseppePorta	Q3108131	naissance	Q216903
GiuseppePorta	Q3108131	décès	Q641
JacquiotPonce	Q3396131	naissance	Q209790
JacquiotPonce	Q3396131	décès	Q90
GiovanniGiacomoDellaPorta	Q3767365	naissance	Q47510
GiovanniGiacomoDellaPorta	Q3767365	décès	Q1449
SaintPotit	Q3947840	naissance	Q472
SaintPotit	Q3947840	décès	Q52336
FrancoisDuPuy	Q65146534	naissance	Q1116312
FrancoisDuPuy	Q65146534	décès	Q180709
Rembrandt	Q5598	naissance	Q43631
Rembrandt	Q5598	décès	Q727
Perugin	Q5827	naissance	Q20409
Perugin	Q5827	décès	Q1070894
QuinteCurce	Q5959	naissance	3bf9e211f810c557fd3bab73a3ee1914
QuinteCurce	Q5959	décès	Q181238
Pythagore	Q10261	naissance	Q13580795
Pythagore	Q10261	décès	Q1058770
CharlesQuint	Q32500	naissance	Q1296
CharlesQuint	Q32500	décès	Q936453
Pericles	Q80398	naissance	Q1524
Pericles	Q80398	décès	Q1524
Pelee	Q178641	naissance	Q191082
RobertII	Q178918	naissance	Q6548
RobertII	Q178918	décès	Q41139
Pytheas	Q189971	naissance	Q2566850
Pyrrhon	Q192313	naissance	Q217667
Pyrrhon	Q192313	décès	Q217667
Quintilien	Q193769	naissance	Q642046
Quintilien	Q193769	décès	Q220
Quintilien	Q193769	naissance	Q19603600
Quintilien	Q193769	décès	Q220
LucaDellaRobbia	Q194977	naissance	Q2044
LucaDellaRobbia	Q194977	décès	Q2044
Rachel	Q207389	décès	Q163329
GiulioRomano	Q215305	naissance	Q220
GiulioRomano	Q215305	décès	Q6247
SainteFelicite	Q257960	naissance	Q220
SainteFelicite	Q257960	décès	Q220
JusepeDeRibera	Q297838	naissance	Q738013
JusepeDeRibera	Q297838	décès	Q2634
JacopoDellaQuercia	Q314797	naissance	Q952072
JacopoDellaQuercia	Q314797	décès	Q2751
Pelopidas	Q316059	naissance	Q11225429
Pelopidas	Q316059	décès	Q2334746
ErcoleDeRoberti	Q379521	naissance	Q13362
ErcoleDeRoberti	Q379521	décès	Q13362
AgostinoRamelli	Q395696	naissance	Q68203
AgostinoRamelli	Q395696	décès	Q90
MarieDeRohan	Q438615	naissance	Q90
MarieDeRohan	Q438615	décès	Q179821
DanieleDaVolterra	Q540489	naissance	Q103305
DanieleDaVolterra	Q540489	décès	Q220
ErasmusIIQuellinus	Q625228	naissance	Q12892
ErasmusIIQuellinus	Q625228	décès	Q12892
CesareRipa	Q721704	naissance	Q3437
CesareRipa	Q721704	décès	Q220
MarcantonioRaimondi	Q728375	naissance	Q94960
MarcantonioRaimondi	Q728375	décès	Q1891
Romanino	Q732766	naissance	Q6221
Romanino	Q732766	décès	Q6221
BartolommeoRamenghi	Q740807	naissance	Q52957
BartolommeoRamenghi	Q740807	décès	Q1891
CarloRidolfi	Q776990	naissance	Q47385
CarloRidolfi	Q776990	décès	Q641
Pordenone	Q983352	naissance	Q6606
Pordenone	Q983352	décès	Q13362
Remus	Q1242632	naissance	Q335070
Remus	Q1242632	décès	Q220
PaoloRomano	Q2469612	naissance	Q128206
PaoloRomano	Q2469612	décès	Q220
AntoineDeRatabon	Q2856920	naissance	Q6441
AntoineDeRatabon	Q2856920	décès	Q90
GiovanniFrancescoRomanelli	Q2983846	naissance	Q13395
GiovanniFrancescoRomanelli	Q2983846	décès	Q13395
JacopoRipanda	Q3157648	naissance	Q1891
JacopoRipanda	Q3157648	décès	Q220
JeanPierreRivalz	Q3169711	naissance	Q1086285
JeanPierreRivalz	Q3169711	décès	Q7880
PierreLouisReichDePennautier	Q3386016	naissance	Q1083982
PierreLouisReichDePennautier	Q3386016	décès	Q6441
LattanzioRagnoni	Q3827553	naissance	Q2751
LattanzioRagnoni	Q3827553	décès	Q71
AlamannoRinuccini	Q4394728	naissance	Q2044
AlamannoRinuccini	Q4394728	décès	Q2044
GiovanniBattistaRamenghi	Q5880111	naissance	Q52957
GiovanniBattistaRamenghi	Q5880111	décès	Q1891
RaffaeleRegio	Q7294005	naissance	Q16137
RaffaeleRegio	Q7294005	décès	Q641
IsabelleDeRequesens	Q11926873	décès	Q2634
EtienneRendu	Q41270999	décès	Q90
Romulus	Q2186	naissance	Q335070
Romulus	Q2186	décès	Q220
PeterPaulRubens	Q5599	naissance	Q3167
PeterPaulRubens	Q5599	décès	Q12892
SaintPaul	Q9200	naissance	Q134287
SaintPaul	Q9200	décès	Q220
SaintLaurent	Q17590	naissance	Q100707898
SaintLaurent	Q17590	décès	Q220
CosimoRosselli	Q29447	naissance	Q2044
CosimoRosselli	Q29447	décès	Q2044
SaintMarc	Q31966	naissance	Q23792
SaintMarc	Q31966	décès	Q87
Salomon	Q37085	naissance	Q23792
Salomon	Q37085	décès	Q1218
Erasmus	Q43499	naissance	Q34370
Erasmus	Q43499	décès	Q78
PierreDeRonsard	Q49752	naissance	Q2242004
PierreDeRonsard	Q49752	décès	Q661814
SaintLuc	Q128538	naissance	Q200441
SaintLuc	Q128538	décès	Q11225429
MaximilienII	Q150862	naissance	Q1741
MaximilienII	Q150862	décès	Q2978
SaintEtienne	Q161775	naissance	Q41
SaintEtienne	Q161775	décès	Q1218
LucienSamosate	Q177847	naissance	Q1026347
LucienSamosate	Q177847	décès	Q1524
SaintSebastien	Q183332	naissance	Q6555
SaintSebastien	Q183332	décès	Q220
Roxane	Q190055	naissance	Q132646
Roxane	Q190055	décès	Q217414
SaintGregoireDeNysse	Q191734	naissance	Q48338
SaintGregoireDeNysse	Q191734	décès	Q206879
SainteVeronique	Q196653	naissance	Q2484244
SainteVeronique	Q196653	décès	Q478237
ProperziaDeRossi	Q293106	naissance	Q1891
ProperziaDeRossi	Q293106	décès	Q1891
RossoFiorentino	Q312617	naissance	Q2044
RossoFiorentino	Q312617	décès	Q182872
AntonMariaSalvini	Q349065	naissance	Q2044
AntonMariaSalvini	Q349065	décès	Q2044
SalvatorRosa	Q359421	naissance	Q2634
SalvatorRosa	Q359421	décès	Q220
FlaviusRufinus	Q363482	naissance	Q715376
FlaviusRufinus	Q363482	décès	Q16869
JeanBaptisteRondelet	Q432786	naissance	Q456
JeanBaptisteRondelet	Q432786	décès	Q90
PieterSaenredam	Q433804	naissance	Q1614461
PieterSaenredam	Q433804	décès	Q9920
QuintusFabiusMaximusRullianus	Q435352	naissance	Q1747689
QuintusFabiusMaximusRullianus	Q435352	décès	Q220
AndreaSacchi	Q495008	naissance	Q243116
AndreaSacchi	Q495008	décès	Q220
HansIRottenhammer	Q559004	naissance	Q1726
HansIRottenhammer	Q559004	décès	Q2749
FrancescoSalviati	Q704594	naissance	Q2044
FrancescoSalviati	Q704594	décès	Q220
GiovanniFrancescoRustici	Q720384	naissance	Q2044
GiovanniFrancescoRustici	Q720384	décès	Q288
LuigiDeRossi	Q733662	naissance	Q2044
LuigiDeRossi	Q733662	décès	Q220
LorenzoSabatini	Q886785	naissance	Q1891
LorenzoSabatini	Q886785	décès	Q220
AndreaSalaino	Q954126	naissance	Q16585087
AndreaSalaino	Q954126	décès	Q490
GuillaumeRondelet	Q960658	naissance	Q6441
GuillaumeRondelet	Q960658	décès	Q1356682
CristoforoRoncalli	Q1091136	naissance	Q103201
CristoforoRoncalli	Q1091136	décès	Q220
JanRubens	Q1682176	naissance	Q12892
JanRubens	Q1682176	décès	Q365
MartinoRota	Q1984287	naissance	Q3549
MartinoRota	Q1984287	décès	Q1741
GiovanniSalviati	Q2254728	naissance	Q2044
GiovanniSalviati	Q2254728	décès	Q13364
OrazioSammacchini	Q2619534	naissance	Q1891
OrazioSammacchini	Q2619534	décès	Q1891
GirolamoRuscelli	Q2903986	naissance	Q13395
GirolamoRuscelli	Q2903986	décès	Q641
HansSadeler	Q3161745	naissance	Q239
HansSadeler	Q3161745	décès	Q641
TheodoreDeSamos	Q3286634	naissance	Q156882
TheonDeSamos	Q3983954	naissance	Q13580795
TommasoRues	Q3992848	naissance	Q256765
TommasoRues	Q3992848	décès	Q641
PhilipRubens	Q15880673	naissance	Q3167
PhilipRubens	Q15880673	décès	Q12892
RaphaelSadeler	Q19569785	naissance	Q12892
RaphaelSadeler	Q19569785	décès	Q1726
AlbertRubens	Q21543225	naissance	Q12892
AlbertRubens	Q21543225	décès	Q239
CosimoRucellai	Q55911290	naissance	Q2044
SeptimeSevere	Q1442	naissance	Q191504
SeptimeSevere	Q1442	décès	Q958954
ScipionAfricain	Q2253	naissance	Q1747689
ScipionAfricain	Q2253	décès	Q898417
AndreaDelSarto	Q5571	naissance	Q2044
AndreaDelSarto	Q5571	décès	Q2044
Raphael	Q5597	naissance	Q2759
Raphael	Q5597	décès	Q220
Sappho	Q17892	naissance	Q128087
Sappho	Q17892	décès	Q190138
RoelandtSavery	Q142710	naissance	Q12995
RoelandtSavery	Q142710	décès	Q803
HonoreIII	Q160182	naissance	Q220
HonoreIII	Q160182	décès	Q220
Savonarole	Q164823	naissance	Q13362
Savonarole	Q164823	décès	Q849846
JanVanScorel	Q282708	naissance	Q1002717
JanVanScorel	Q282708	décès	Q803
Scopas	Q309579	naissance	Q201272
VincenzoScamozzi	Q309733	naissance	Q6537
VincenzoScamozzi	Q309733	décès	Q641
FrancescoSforza	Q310536	naissance	Q103244
FrancescoSforza	Q310536	décès	Q490
GiulianoDaSangallo	Q312365	naissance	Q2044
GiulianoDaSangallo	Q312365	décès	Q2044
JosephJusteScaliger	Q315163	naissance	Q6625
JosephJusteScaliger	Q315163	décès	Q43631
CharlesEmmanuelIer	Q318091	naissance	Q10231
CharlesEmmanuelIer	Q318091	décès	Q20489
AbelServien	Q318496	naissance	Q582635
AbelServien	Q318496	décès	Q234735
ChristophSchwarz	Q322029	naissance	Q1726
ChristophSchwarz	Q322029	décès	Q1726
ScipionAsiatique	Q361377	naissance	Q1747689
ScipionAsiatique	Q361377	décès	f74d5937efb528e99192f35335ad279c
FrancescoMariaSforza	Q378868	naissance	Q490
FrancescoMariaSforza	Q378868	décès	Q40832
SebastianoSerlio	Q452318	naissance	Q1891
SebastianoSerlio	Q452318	décès	Q182872
AntonioDaSangalloIlVecchio	Q456861	naissance	Q2044
AntonioDaSangalloIlVecchio	Q456861	décès	Q2044
MicheleSanmicheli	Q459937	naissance	Q2028
MicheleSanmicheli	Q459937	décès	Q2028
AndreaSansovino	Q495011	naissance	Q52086
AndreaSansovino	Q495011	décès	Q52086
JoachimVonSandrart	Q551624	naissance	Q1794
JoachimVonSandrart	Q551624	décès	Q2090
CorneilleSchut	Q592396	naissance	Q12892
CorneilleSchut	Q592396	décès	Q12892
MauriceDeSavoie	Q610738	naissance	Q495
MauriceDeSavoie	Q610738	décès	Q495
JacobISavery	Q658943	naissance	Q12995
JacobISavery	Q658943	décès	Q727
BastianoDaSangallo	Q737782	naissance	Q2044
BastianoDaSangallo	Q737782	décès	Q2044
GiovanniSanti	Q860949	naissance	Q190584
