xml_id,region,latitude,longitude,count
Caravage,Lombardie,45.65,9.95,4
CarelVanMander,Belgique,50.641111111,4.668055555,6
CarloRidolfi,Vénétie,45.733333333,11.85,15
Carrache,Émilie-Romagne,44.75,11.0,1
CesareDaSesto,Lombardie,45.65,9.95,2
CesareRipa,Ombrie,42.983333333,12.566666666,7
Cimabue,Toscane,43.45,11.2,181
Correge,Émilie-Romagne,44.75,11.0,2
CosimoRosselli,Toscane,43.45,11.2,6
Dante,Toscane,43.45,11.2,75
DavidTeniers,Belgique,50.641111111,4.668055555,1
DenysCalvaert,Belgique,50.641111111,4.668055555,1
Dominiquin,Émilie-Romagne,44.75,11.0,2
Donatello,Toscane,43.45,11.2,97
Duccio,Toscane,43.45,11.2,3
FrancescoFrancia,Émilie-Romagne,44.75,11.0,1
FrancescoPrimaticcio,Émilie-Romagne,44.75,11.0,1
FrancescoSalviati,Toscane,43.45,11.2,1
GaddoGaddi,Toscane,43.45,11.2,14
Gaudenzio,Piémont,45.25,7.916666666,2
GiorgioVasari,Toscane,43.45,11.2,304
Giorgione,Vénétie,45.733333333,11.85,1
Giotto,Toscane,43.45,11.2,344
GiovanniFrancescoPenni,Toscane,43.45,11.2,2
GiovanniPaoloLomazzo,Lombardie,45.65,9.95,4
GirolamoGenga,Marches,43.316666666,13.0,2
GiulioRomano,Latium,41.9,12.716666666,1
Guerchin,Émilie-Romagne,44.75,11.0,2
GuidoReni,Émilie-Romagne,44.75,11.0,25
HendrickGoltzius,Allemagne,51.0,10.0,2
HennequinDeBruges,Belgique,50.641111111,4.668055555,10
JanGossaert,France,47.0,2.0,1
LaviniaFontana,Émilie-Romagne,44.75,11.0,1
LeonardoDaVinci,Toscane,43.45,11.2,37
LippoMemmi,Toscane,43.45,11.2,25
LorenzoGhiberti,Toscane,43.45,11.2,7
Maggiore,Lombardie,45.65,9.95,32
MarcantonioRaimondi,Émilie-Romagne,44.75,11.0,6
MarcoZoppo,Émilie-Romagne,44.75,11.0,2
MariottoAlbertinelli,Toscane,43.45,11.2,3
MartinoBassi,Lombardie,45.65,9.95,5
Masaccio,Toscane,43.45,11.2,71
MasoFiniguerra,Toscane,43.45,11.2,3
MaturinoFiorentino,Toscane,43.45,11.2,1
MichelAnge,Toscane,43.45,11.2,43
MinoDaFiesole,Toscane,43.45,11.2,3
NicolasPoussin,France,47.0,2.0,5
PaoloUccello,Toscane,43.45,11.2,22
Perugin,Ombrie,42.983333333,12.566666666,6
PeterPaulRubens,Allemagne,51.0,10.0,1
PierreDeCortone,Toscane,43.45,11.2,4
PieterSaenredam,Pays-Bas,52.316666666,5.55,1
PietroBuonaccorsi,Toscane,43.45,11.2,1
PietroCavallini,Latium,41.9,12.716666666,10
PietroLorenzetti,Toscane,43.45,11.2,6
Pisanello,Toscane,43.45,11.2,1
RaffaelleSoprani,Ligurie,44.45,8.766666666,2
Raphael,Marches,43.316666666,13.0,27
Rembrandt,Pays-Bas,52.316666666,5.55,3
RinaldoMantovano,Lombardie,45.65,9.95,2
RossoFiorentino,Toscane,43.45,11.2,2
SpinelloAretino,Toscane,43.45,11.2,18
Titien,Vénétie,45.733333333,11.85,5
VitaleDaBologna,Émilie-Romagne,44.75,11.0,6
AlbertiDurante,Toscane,43.45,11.2,1
AndreaDelSarto,Toscane,43.45,11.2,2
AndreaPalladio,Vénétie,45.733333333,11.85,1
BenedettoVarchi,Toscane,43.45,11.2,1
