xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
AdamVanNoort,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
LambertVanNoort,Amersfoort,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
PietroPaoloOlivieri,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282
GerardVanOpstal,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
OrazioDeFerrari,Voltri,Municipio VII Ponente,Gênes,Ligurie,Italie,Q38,Q1256
FrancoisDOrbay,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
BernaertVanOrley,Bruxelles,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
HilairePader,Toulouse,Haute-Garonne,Occitanie,France,France,Q142,Q142
BenedettoPagni,Pescia,Pistoia,Toscane,Toscane,Italie,Q38,Q1273
AndreaPalladio,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243
JacopoPalmaIlVecchio,Serina,Bergame,Lombardie,Lombardie,Italie,Q38,Q1210
JacopoPalmaIlGiovane,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
LeonardoParasole,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282
BartolomeoPassarotti,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
GiovanniFrancescoPenni,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
LucaPenni,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
ClaudePerrault,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
FrancoisPerrier,Pontarlier,Doubs,Bourgogne-Franche-Comté,France,France,Q142,Q142
BaldassarrePeruzzi,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273
SimonePeterzano,Bergame,Bergame,Lombardie,Lombardie,Italie,Q38,Q1210
Petrarque,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
PetrusChristus,Baerle,Baerle-Nassau,Brabant-Septentrional,Belgique,Belgique,Q31,Q31
GiovanniDiPietro,Pérouse,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280
RogerDePiles,Clamecy,Nièvre,Bourgogne-Franche-Comté,France,France,Q142,Q142
GermainPilon,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
MarcoPino,Costalpino,Sienne,Sienne,Toscane,Italie,Q38,Q1273
PaoloPino,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
Pinturicchio,Pérouse,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280
SebastianoDelPiombo,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
Pisanello,Pise,Pise,Toscane,Toscane,Italie,Q38,Q1273
AndreaPisano,Pontedera,Pise,Toscane,Toscane,Italie,Q38,Q1273
BonannoPisano,Pise,Pise,Toscane,Toscane,Italie,Q38,Q1273
GiovanniPisano,Pise,Pise,Toscane,Toscane,Italie,Q38,Q1273
NicolaPisano,Foggia,Foggia,Pouilles,Pouilles,Italie,Q38,Q1447
FraPaolinoDaPistoia,Pistoia,Pistoia,Toscane,Toscane,Italie,Q38,Q1273
BonifacioVeronese,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
GiovanniBattistaPittoni,Vicence,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
CornelisVanPoelenburgh,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
AntonioPollaiuolo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
PieroPollaiuolo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
AmalteoPomponio,Motta di Livenza,Trévise,Vénétie,Vénétie,Italie,Q38,Q1243
JacquiotPonce,Rethel,Ardennes,Grand Est,France,France,Q142,Q142
GiovanniDalPonte,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
PaulusPontius,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
Pontormo,Empoli,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
GiovanniGiacomoDellaPorta,Porlezza,Côme,Lombardie,Lombardie,Italie,Q38,Q1210
GiuseppePorta,Castelnuovo di Garfagnana,Lucques,Toscane,Toscane,Italie,Q38,Q1273
GuglielmoDellaPorta,Porlezza,Côme,Lombardie,Lombardie,Italie,Q38,Q1210
FransPourbusI,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
PieterPourbus,Gouda,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
NicolasPoussin,Les Andelys,arrondissement des Andelys,Eure,France,France,Q142,Q142
CharlesPoerson,Metz,Moselle,Grand Est,France,France,Q142,Q142
AndreaPrevitali,Berbenno,Bergame,Lombardie,Lombardie,Italie,Q38,Q1210
FrancescoPrimaticcio,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
CamilloProcaccini,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
ErcoleProcacciniI,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
GiulioCesareProcaccini,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
PierrePuget,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France,France,Q142,Q142
Perugin,Città della Pieve,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280
ErasmusIIQuellinus,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
JacopoDellaQuercia,Quercegrossa,Castelnuovo Berardenga,Sienne,Toscane,Italie,Q38,Q1273
MarcantonioRaimondi,Molinella,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
AgostinoRamelli,Ponte Tresa,Tresa,Cercle de Sessa,Suisse,Suisse,Q39,Q39
BartolommeoRamenghi,Bagnacavallo,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
GiovanniBattistaRamenghi,Bagnacavallo,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
Pordenone,Pordenone,Organisme de décentralisation régionale de Pordenone,Frioul-Vénétie Julienne,Frioul-Vénétie Julienne,Italie,Q38,Q1250
JusepeDeRibera,Xàtiva,Costera,province de Valence,Espagne,Espagne,Q29,Q29
DanieleDaVolterra,Volterra,Pise,Toscane,Toscane,Italie,Q38,Q1273
CarloRidolfi,Lonigo,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
Rembrandt,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
CesareRipa,Pérouse,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280
JacopoRipanda,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
JeanPierreRivalz,Labastide-d'Anjou,Aude,Occitanie,France,France,Q142,Q142
LucaDellaRobbia,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
ErcoleDeRoberti,Ferrare,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
GiovanniFrancescoRomanelli,Viterbe,Viterbe,Latium,Latium,Italie,Q38,Q1282
PaoloRomano,Sezze,province de Latina,Latium,Latium,Italie,Q38,Q1282
Romanino,Brescia,Brescia,Lombardie,Lombardie,Italie,Q38,Q1210
GiulioRomano,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282
CristoforoRoncalli,Pomarance,Pise,Toscane,Toscane,Italie,Q38,Q1273
JeanBaptisteRondelet,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,France,Q142,Q142
PierreDeRonsard,château de la Possonnière,Couture-sur-Loir,Loir-et-Cher,France,France,Q142,Q142
SalvatorRosa,Naples,ville métropolitaine de Naples,Campanie,Campanie,Italie,Q38,Q1438
CosimoRosselli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
ProperziaDeRossi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
RossoFiorentino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
MartinoRota,Šibenik,Šibenik-Knin,Adriatic Croatia,Croatie,Croatie,Q224,Q224
HansIRottenhammer,Munich,Haute-Bavière,Bavière,Allemagne,Allemagne,Q183,Q183
PeterPaulRubens,Siegen,arrondissement de Siegen-Wittgenstein,Arnsberg,Allemagne,Allemagne,Q183,Q183
GiovanniFrancescoRustici,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
LorenzoSabatini,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
AndreaSacchi,Nettuno,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282
HansSadeler,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
RaphaelSadeler,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
PieterSaenredam,Assendelft,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
AndreaSalaino,Oreno,Vimercate,Monza et Brianza,Lombardie,Italie,Q38,Q1210
FrancescoSalviati,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
OrazioSammacchini,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
JoachimVonSandrart,Francfort-sur-le-Main,district de Darmstadt,Hesse,Allemagne,Allemagne,Q183,Q183
AntonioDaSangalloIlVecchio,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
BastianoDaSangallo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
FrancescoDaSangallo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
GiulianoDaSangallo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
MicheleSanmicheli,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
AndreaSansovino,Monte San Savino,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
GiovanniSanti,Colbordolo,Vallefoglia,Pesaro et Urbino,Marches,Italie,Q38,Q1279
Raphael,Urbino,Pesaro et Urbino,Marches,Marches,Italie,Q38,Q1279
JacquesSarazin,Noyon,arrondissement de Compiègne,Oise,France,France,Q142,Q142
AndreaDelSarto,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
JacobISavery,Courtrai,arrondissement administratif de Courtrai,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
RoelandtSavery,Courtrai,arrondissement administratif de Courtrai,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
LouisSavot,Saulieu,Côte-d'Or,Bourgogne-Franche-Comté,France,France,Q142,Q142
VincenzoScamozzi,Vicence,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
CorneilleSchut,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
ChristophSchwarz,Munich,Haute-Bavière,Bavière,Allemagne,Allemagne,Q183,Q183
JanVanScorel,Schoorl,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
DanielSeghers,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
GerardSeghers,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
GirolamoDaCarpi,Ferrare,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
OttavioSemino,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256
VincenzoSeregni,Seregno,Monza et Brianza,Lombardie,Lombardie,Italie,Q38,Q1210
SebastianoSerlio,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
CesareDaSesto,Sesto Calende,province de Varèse,Lombardie,Lombardie,Italie,Q38,Q1210
GirolamoSiciolante,Sermoneta,province de Latina,Latium,Latium,Italie,Q38,Q1282
BarnaDaSiena,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273
LucaSignorelli,Cortone,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
IsraelSilvestre,Nancy,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142
FransSnyders,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
JanSoens,Bois-le-Duc,Bois-le-Duc,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55
CristoforoSolari,Angera,province de Varèse,Lombardie,Lombardie,Italie,Q38,Q1210
AndreaSolario,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210
RaffaelleSoprani,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256
