xml:id,name_fr,name_it,continent,country,geo,wikidata
Cambay,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
Ninive,Ninive,Ninive,,Irak,36.366667 43.15,Q5680
Skerries,Skerries,Skerries,,Irlande,53.5828 -6.1083,Q2268677
Cesaree,Césarée,Cesarea,,Israël,32.5 34.9,Q1615560
Galilee,Galilée,Galilea,,Israël,32.76 35.527,Q83241
Judee,Judée,Giudea,,Israël,31.698889 35.306389,Q104028
Catane,,Katane,,Italie,37.505 15.086388888888889,Q3813280
Adria,Adria,Adria,,Italie,45.05 12.05,Q34615
AlexandrieItalie,Alexandrie,Alessandria,,Italie,44.913330555556 8.62,Q6088
Ancone,Ancône,Ancona,,Italie,43.616666666667 13.516666666667,Q3415
Apennins,Apennins,Appennini,,Italie,42.469166666666666 13.565555555555555,Q1285
Aquilee,Aquilée,Aquileia,,Italie,45.766666666667 13.366666666667,Q53216
Ardea,Ardea,Ardea,,Italie,41.616666666667 12.55,Q241733
Arezzo,Arezzo,Arezzo,,Italie,43.463055555556 11.878055555556,Q13378
Ariccia,Ariccia,Ariccia,,Italie,41.716666666667 12.666666666667,Q241744
Arpino,Arpino,Arpino,,Italie,41.64705 13.61155,Q116440
Assise,Assise,Assisi,,Italie,43.07 12.6175,Q20103
BassanoDelGrappa,Bassano del Grappa,Bassano del Grappa,,Italie,45.766666666666666 11.734166666666667,Q47094
Baies,Baïes,Baia,,Italie,40.816666666667 14.069722222222,Q290097
Bergame,Bergame,Bergamo,,Italie,45.695 9.67,Q628
Bologne,Bologne,Bologna,,Italie,44.493888888889 11.342777777778,Q1891
Bolsena,Bolsena,Bolsena,,Italie,42.644722222222 11.985833333333,Q159685
Brescia,Brescia,Brescia,,Italie,45.538888888889 10.220280555556,Q6221
Bresso,Bresso,Bresso,,Italie,45.533333333333 9.1833333333333,Q42898
Calabre,Calabre,Calabria,,Italie,39 16.5,Q1458
Camerino,Camerino,Camerino,,Italie,43.133333333333 13.066666666667,Q73489
Capitole,Capitole,Campidoglio,,Italie,41.893333333333 12.483055555556,Q34925
Caprarola,Caprarola,Caprarola,,Italie,42.3275 12.236666666667,Q160262
Capri,Capri,Isola di Capri,,Italie,40.55 14.233333333333,Q173292
Caravaggio,Caravaggio,Caravaggio,,Italie,45.497777777778 9.6430555555556,Q100145
Carpi,Carpi,Carpi,,Italie,44.783333333333 10.885,Q100041
Carrara,Carrare,Carrara,,Italie,44.083333333333 10.1,Q13372
CastelFranco,Castelfranco Veneto,Castelfranco Veneto,,Italie,45.666666666667 11.933333333333,Q29352
Cento,Cento,Cento,,Italie,44.733333333333 11.283333333333,Q95094
CittaDiCastello,Città di Castello,Città di Castello,,Italie,43.4574214 12.2403118,Q20413
Correggio,Correggio,Correggio,,Italie,44.771666666667 10.780555555556,Q111176
Cortone,Cortone,Cortona,,Italie,43.275555555556 11.988055555556,Q52080
Crema,Crema,Crema,,Italie,45.366666666667 9.6833333333333,Q42793
Crotone,Crotone,Crotone,,Italie,39.083333333333 17.116666666667,Q6681
Cremone,Crémone,Cremona,,Italie,45.13333333333333 10.024722222222222,Q6231
Fabriano,Fabriano,Fabriano,,Italie,43.338561111111 12.908519444444,Q13145
Faenza,Faenza,Faenza,,Italie,44.285555555556 11.883333333333,Q52981
Ferrare,Ferrare,Ferrara,,Italie,44.839166666666664 11.6175,Q13362
Fiesole,Fiesole,Fiesole,,Italie,43.8 11.3,Q82670
Frascati,Frascati,Frascati,,Italie,41.816666666667 12.683333333333,Q190963
Frioul,Frioul,Friuli,,Italie,46.166388888889 13,Q160570
GambassiTerme,Gambassi Terme,Gambassi Terme,,Italie,43.533333333333 10.95,Q82704
Gaete,Gaète,Gaeta,,Italie,41.216666666667 13.566666666667,Q128089
Grottaferrata,Grottaferrata,Grottaferrata,,Italie,41.8 12.666666666667,Q242703
Genes,Gênes,Genova,,Italie,44.407186111111 8.9339833333333,Q1449
Heraclee,Héraclée,Eraclea,,Italie,40.2195 16.6704,Q1568583
Lanuvium,Lanuvio,Lanuvio,,Italie,41.683333333333 12.7,Q242793
Lazio,Latium,Lazio,,Italie,41.9 12.716666666667,Q1282
Livourne,Livourne,Livorno,,Italie,43.55 10.316666666667,Q6761
Locres,Locri,Locri,,Italie,38.233333333333 16.266666666667,Q54619
Lombardie,Lombardie,Lombardia,,Italie,45.65 9.95,Q1210
Loreto,Lorette,Loreto,,Italie,43.4403 13.607430555556,Q124110
Lucanie,Lucania,Lucania,,Italie,40.482608 15.956247,Q1131978
Lucques,Lucques,Lucca,,Italie,43.85 10.516666666667,Q13373
Maiano,Maiano,Maiano,,Italie,43.79382 11.30414,Q18487093
Messine,Messine,Messina,,Italie,38.19361111111111 15.554166666666667,Q13666
Mondovi,Mondovi,Mondovì,,Italie,44.383333333333 7.8166666666667,Q20188
MonteCavallo,Monte Cavallo,Monte Cavallo,,Italie,42.992919444444 13.001069444444,Q83070
Monferrato,Montferrat,Monferrato,,Italie,44.608611111111 7.9636111111111,Q19868
Monza,Monza,Monza,,Italie,45.58361111111111 9.27361111111111,Q6252
Metaponte,Métaponte,Metaponto,,Italie,40.416077777778 16.816763888889,Q1058770
Novare,Novare,Novara,,Italie,45.45 8.62,Q6046
Orvieto,Orvieto,Orvieto,,Italie,42.716666666667 12.1,Q541
Ostie,Ostie,Ostia,,Italie,41.75416666666667 12.2875,Q1012797
Padoue,Padoue,Padova,,Italie,45.40777777777778 11.873333333333333,Q617
Palerme,Palerme,Palermo,,Italie,38.115658055555556 13.361261944444445,Q2656
Preneste,Palestrina,Palestrina,,Italie,41.833333333333 12.9,Q243133
Parme,Parme,Parma,,Italie,44.801472222222 10.328,Q2683
Passignano,Passignano sul Trasimeno,Passignano sul Trasimeno,,Italie,43.183333333333 12.133333333333,Q20504
Pesaro,Pesaro,Pesaro,,Italie,43.91015 12.9133,Q13134
Cadore,Pieve di Cadore,Pieve di Cadore,,Italie,46.428709 12.375297,Q41065
Pise,Pise,Pisa,,Italie,43.716666666667 10.4,Q13375
