xml:id,name_fr,name_it,continent,country,geo,wikidata
Byzance,Byzance,Bisanzio,,Turquie,41.013416666666664 28.98363888888889,Q23725
Cappadoce,Cappadoce,Cappadocia,,Turquie,38.670556 34.839167,Q217265
Carie,Carie,Caria,,Turquie,37.5 28,Q193214
Cnide,Cnide,Cnido,,Turquie,36.685833 27.375,Q690575
Pessinonte,Pessinonte,Pessinunte,,Turquie,39.3317 31.5809,Q728353
Troie,Troie,Troia,,Turquie,39.9575 26.238888888889,Q22647
Ephese,Éphèse,Efeso,,Turquie,37.939722 27.348611,Q47611
Pavie,Pavie,Pavia,,duché de Milan,45.185280555556 9.155,Q6259
Mantoue,Mantoue,Mantova,,royaume d'Italie,45.156388888889 10.791111111111,Q6247
Candie,Duché de Candie,Ducato di Candia,,république de Venise,35.3167 25.1333,Q2288441
Memphis,Memphis,Menfi,,Égypte,29.85412 31.25934,Q5715
ThebesEgypte,Thèbes,Tebe,,Égypte,25.720555555556 32.610277777778,Q101583
Thebaide,Thébaïde,Tebaide,,Égypte antique,23.936209 32.954304,Q768515
Libye,Libye,Libia,Afrique,Libye,27 17,Q1016
Mauritanie,Mauritanie,Mauritania,Afrique,Mauritanie,21 -11,Q1025
Nil,Nil,Nilo,Afrique,Soudan,15.640138888888888 32.5055,Q3392
Carthage,Carthage,Cartagine,Afrique,Tunisie,36.852558 10.323461,Q6343
Alexandrie,Alexandrie,Alessandria d'Egitto,Afrique,Égypte,31.1975 29.8925,Q87
Egypte,Égypte,Egitto,Afrique,Égypte,27 29,Q79
Indes,Caraïbes,Caraibi,Amérique centrale,,15 -73,Q664609
Terranova,Terre-Neuve,Terranova,Amérique du Nord,Canada,48.5416666 -56.1249997,Q48335
Perou,Pérou,Perù,Amérique du Sud,Pérou,-9.4 -76,Q419
Assyrie,Assyrie,Assiria,Asie,,36 43.3,Q41137
Chine,Chine,Cina,Asie,,35 105,Q29520
Perse,Empire perse,Impero persiano,Asie,,33 53,Q83311
Armenie,Arménie,Armenia,Asie,Arménie,40.383333 44.95,Q399
Babylone,Babylone,Babilonia,Asie,Babylonie,32.5425 44.42111111111111,Q5684
Chypre,Chypre,Cipro,Asie,Chypre,35 33,Q229
Israel,Israël,Israele,Asie,Israël,31 35,Q801
SriLanka,Sri Lanka,Sri Lanka,Asie,Sri Lanka,7 81,Q854
Syrie,Syrie,Siria,Asie,Syrie,35.216667 38.583333,Q858
Jerusalem,Jérusalem,Gerusalemme,Asie,royaume de Juda,31.77888888888889 35.22555555555556,Q1218
Rhodes,Rhodes,Rodi,Eurasie,Grèce,36.17 27.92,Q43048
Colchide,Colchide,Colchide,Europe,,42.26666667 42,Q183150
